quote_name,quote_tags_name
“My parents worked for all their money. My family planned ahead for me to attend post secondary.”,class
,
"“Lol, Asian gay guys are too girly, I suppose.”",race
"“Lol, Asian gay guys are too girly, I suppose.”",gender
,
“But you don’t look Jewish!”,religion
“Smile! Smile! Come on you’re too pretty for me to see you not smiling!”,gender
“So where do you know each other from?”,race
,
,
,
,
"“You should dumb yourself down and lose weight, though. Men can’t love a smart, fat girl like you!”",gender
,
,
#throwback to 2010 - browse our original posts!!,race
“You’re too smart for your own good.”,gender
"“Well, it’s only because she has that Hispanic last name (Martinez). You know, they are always looking for minorities.”",race
,
“Before we met when I first saw your name I thought you were going to be one of those quiet Asians-you know? And my mom was like ‘well maybe she’ll just spend all her time in the library so you’ll have the room to yourself! I’m so glad you’re not like that!”,race
,
“What do you mean you don’t like Takis (Mexican chip-like snack)?! It’s like being Mexican and not liking beans!”,race
,
“But even you would agree that it’s not medically necessary in the same way as someone who is dying of something.”,gender
,
,
,
“Herro prease.”,race
“What? You’re not Mexican. You look Filipino. Trust me – I know what Filipinos look like.”,race
,
"“If everybody would just stop making everything about race, you would realize everything is actually ok.”",race
“You’re so articulate!”,race
“You’re so articulate!”,class
,
"“But you’re a dot Indian, not a Tipi Indian!”",race
,
“Jihad is one of the Five Pillars of Islam. The whole thing is basically founded on going out and killing people for G-d.”,religion
,
“My mom doesn’t let me wear hoop earrings because they make me look Mexican.”,race
“My mom doesn’t let me wear hoop earrings because they make me look Mexican.”,class
“Why does SNL have to TRY to find a black comic? Why can’t they just find someone funny that fits the group? Fuck. This stuff is getting out of control.”,race
“It’s not racist if it’s important to film.”,race
“You’ll have to marry a rich man if you want to afford that!”,gender
"“Oh my god, aren’t guys who aren’t manly ashamed of themselves? Don’t they want to be MEN?! I mean, gay guys can dress however they want, but straight guys in skinny jeans or sparkly shirts? It’s just gross.”",gender
,
,
“You act white!”,race
“Did you steal that baby?!? It looks terrified!”,race
,
,
"“I think you should shave your legs, because it makes you look like a lesbian.”",gender
“Where is the bomb?”,race
,
"“I’m supposed to write my statement of diversity– but I’m not a minority, I wasn’t poor growing up, I’ve never been raped…”",race
"“I’m supposed to write my statement of diversity– but I’m not a minority, I wasn’t poor growing up, I’ve never been raped…”",class
,
,
,
,
“Are you sure you’re old enough to work here?”,gender
,
,
“I thought you said you were a virgin?”,gender
,
"“Born with Dick = Man
Born with Vag = Woman
This is not debatable.”",gender
,
,
“*gasps* You’ve NEVER had taiyaki* before? You’re not really Japanese!”,race
,
“I feel like Spanish…is a poor people language. I’m more into Chinese.”,race
,
“I feel like Spanish…is a poor people language. I’m more into Chinese.”,class
"“You can major in two things. They don’t necessarily have to be related. For example, I majored in Chemistry and African Studies and they don’t really have anything to do with each other except for AIDS.”",race
,
,
,
,
,
“Is she stupid or something?”,race
“I bet you are glad she doesn’t take her color from her father.”,race
,
"“She’s hard working, like an Asian.”",race
“Get back in the kitchen.”,gender
,
“Yea it’s so ghetto hahahaha.”,race
,
“You can’t get into Harvard. Your skin needs to be a few shades lighter hahahaha.”,race
“Oh wait you’re Black; they practically guarantees you’d get into that college.”,race
“Are men more intelligent than women?”,gender
“Sometimes we need to just step back and realize that not everything is racist.”,race
,
“HEY! I can eat that pussy way better than your girlfriend!”,gender
“You look like you have some white in you.”,race
“Really? YOU’VE never been out of the country? You were BORN here?”,race
,
“That place was infested with black people.”,race
"“You’re a guy, shouldn’t you be able to change your own oil?”",gender
"“You’re a guy, shouldn’t you be able to change your own oil?”",gender
"“Well, you’re a minority and female, so I’m sure you’ll get lots of aid.”",gender
,
"“Well, you’re a minority and female, so I’m sure you’ll get lots of aid.”",class
“We don’t carry that shade of foundation.”,race
"“Happy New Year! Well, I guess not really, because it’s not Chinese New Year yet. … Just kidding!”",race
"“I’m not a misogynist! I don’t hate woman! It’s just that they’re not as smart as men. They’re like babies, or dumb animals. I love babies and animals, they still can’t do much though.”",gender
“Why are we learning about this? It’s not even important.”,race
"Police cadet Mohammad Salman Hamdani rushed to help when planes hit the World Trade Center on 9/11. He was not on call, but a volunteer. His body was found in 34 pieces. Because of his name, he was suspected of being a terrorist. His name was not listed with other first responders on the memorial.",religion
,
"“It’s like you’re in Mexico, but you can drink the water.”",class
"“You don’t mind that we joke about women, homosexuals, and things like that, right? Because you were in the military and are used to it.”",gender
,
"“Oh great, we are getting a woman employee. Now we have to make sure that our conversations are work-friendly.”",gender
"“As a male, you should always try to help with the dishes whenever possible to make it easier on your wife.”",gender
"“You have different last names on your driver licenses. At our hotel, we don’t allow anyone to stay in the same hotel room unless they are married.”",gender
“Chinese people eat like savages. They just raise the bowl full of nothing but rice up to their faces and gobble gobble gobble. They do this because they can’t see the food through their tiny eyes.”,race
,
"“Oh, that cake won’t be here long.”",gender
,
,
"“No president has ever done this before. It does not matter that the competition is limited. The impact of the highest official in the country directly feeling your pain, because it is his pain, is real. And it is happening now. And it is significant.”",class
"“So like instead of using all this money to buy a $13000 ticket to like, India or something, I can just use to save poor people in like.. Africa.”",class
"“So like instead of using all this money to buy a $13000 ticket to like, India or something, I can just use to save poor people in like.. Africa.”",race
,
,
“Sometimes I forget that you’re black.”,race
“OH! You don’t have a degree? I am SO SORRY. I assumed you did! I totally thought you did!”,class
,
"“I’m sorry but I cannot stand hood rats, chicks that move their whole body to make a point, it’s annoying. You may have the most valid point but when you talk and carry your self like that you look dumb as rocks. Get a dictionary study up, learn proper words. Okay, I’m done. :)”",race
"“I’m sorry but I cannot stand hood rats, chicks that move their whole body to make a point, it’s annoying. You may have the most valid point but when you talk and carry your self like that you look dumb as rocks. Get a dictionary study up, learn proper words. Okay, I’m done. :)”",class
,
“You go to a woman’s college? What do they teach you there? How to cook and sew clothing?”,gender
“Congratulations on publishing your second book! I bet you never go on a date. I’m sure all the guys are too intimated to talk to you!”,gender
“What the hell are you doing here?”,race
"“Maybe if your skin cleared up a little and you lost weight, you wouldn’t be so depressed.”",gender
,
,
,
,
,
"“Now that you’re a man, you have to come hunting with us/go to straight bars/objectify women/drink beer/learn home repair/drive/etc. because that’s what real men do!”",gender
,
,
,
,
"“Well, I’ll go ahead and do it for you but only if you show me that pretty smile I know you have.”",gender
,
“Is this a good thing?”,gender
,
,
"“At least I don’t sit on my ass all day collecting welfare, I EARN my money.”",class
“The only excuse for not exercising is being paralyzed.”,class
,
,
"“Before Martin Luther, everyone in the world was Catholic.”",religion
,
“Rhinoplasty?”,gender
,
,
"“Smile, gorgeous!”",gender
“You’re cute for a dark-skinned girl.”,race
"“I’m not surprised there are so many police around urban, minority-populated schools. I’ve played sports against some of those schools, and those kids are SCARY. I was afraid I’d get stabbed. I like my guts on the inside of me thank you very much.”",class
"“I’m not surprised there are so many police around urban, minority-populated schools. I’ve played sports against some of those schools, and those kids are SCARY. I was afraid I’d get stabbed. I like my guts on the inside of me thank you very much.”",race
"“She’s a girl, of course she has mood swings.”",gender
,
“…because ain’t nobody got time to pick all that cotton.”,race
“You’re so white.”,race
“Hey ladies - do you want to be successful at work? Here’s the secret - marry a man who is twenty years older than you!”,gender
“Hey ladies - do you want to be successful at work? Here’s the secret - marry a man who is twenty years older than you!”,class
,
"“Wow, you’re Mexican? I had no idea! You’re so lucky you look white.”",race
,
“But I thought Latinas had personality .”,race
“But I thought Latinas had personality .”,gender
“We can butch you up.”,gender
,
"“If your dad is black, why don’t you have the hair? Or the nose?”",race
"“No offense, but you’re more of a mother hen than a team leader.”",gender
“Your hair is so cute! What are you mixed with?”,race
,
“Your hair is so cute! What are you mixed with?”,gender
“Are you from India or Pakistan?”,race
"“But you look white!” or “haha, you look Asian in this photo!”",race
"“Don’t make fun of your boyfriend in public. It’s emasculating. A good girlfriend makes her boyfriend feel like a man, not like a pansy.”",gender
“How much money would you put on the Boston bombers being Muslim?”,religion
“You act (or “are trying to act”) white.”,race
,
"“Oh my god, aren’t guys who aren’t manly ashamed of themselves? Don’t they want to be *men*?! I mean, gay guys can dress however they want, but straight guys in skinny jeans or sparkly shirts? It’s just gross.”",gender
"“I’m supposed to write my statement of diversity– but I’m not a minority, I wasn’t poor growing up, I’ve never been raped…”",race
,
"“I’m supposed to write my statement of diversity– but I’m not a minority, I wasn’t poor growing up, I’ve never been raped…”",class
“Did you steal that baby?!? It looks terrified!”,race
,
"“I think you should shave your legs, because it makes you look like a lesbian.”",gender
,
,
“Where is the bomb?”,race
“Where is the bomb?”,religion
,
“You’ll have to marry a rich man if you want to afford that!”,gender
“You’ll have to marry a rich man if you want to afford that!”,class
"“Wow, don’t get the Muslim mad guys! We don’t want to come to a blown up school tomorrow!”",religion
"“If you cared less about that, and more about the concepts, maybe you would have gotten your homework done.”",race
“I didn’t watch the halftime show because she dances like a slut.”,gender
“They’re not really educated so they don’t understand English.”,race
,
“You’re being a woman!”,gender
,
“Where are you from? Where were you from before that? Before that?”,class
“Where are you from? Where were you from before that? Before that?”,race
,
“Your mom is Brazilian isn’t she? Maybe she could come to the school sometime for gym and teach the class how to dance samba!”,race
,
“You’re a girl. You’re not expected to know where it is.”,gender
“Do you celebrate birthdays in your country?”,race
,
“Food stamps aren’t only for Mexicans.”,race
,
“I just don’t think anyone here will be able to personally identify with these characters.”,race
,
“I just don’t think anyone here will be able to personally identify with these characters.”,gender
,
“They’re not menthol.”,race
“I don’t know the difference between a Muslim and a dictator.”,religion
"“Oh, I don’t know, maybe it’s just my Christian heritage, but the idea of Muslims running a country really scares me. I’m afraid they’re going to take over our country, you know?”",religion
“Yeh… I am going to get my insurance bill sent straight to my mom so she could pay it every month.”,class
"“I don’t get why so many white girls are dating black guys nowadays, or why they would have kids. It will be so much easier on their children if they were to just stay with their own and not be mixed like that.”",race
"“Woah, you better take it easy and leave all the heavy lifting to the boys.”",gender
“Are all of these children biologically yours? They’re beautiful and I can’t tell what they are…”,race
"“The reason why women get paid less than men is because they aren’t assertive enough. If women would just demand better pay and refuse to work until they got it, they wouldn’t have to keep complaining about the wage gap.”",gender
"“The reason why women get paid less than men is because they aren’t assertive enough. If women would just demand better pay and refuse to work until they got it, they wouldn’t have to keep complaining about the wage gap.”",class
,
“Wow. She is actually quite beautiful for a Samoan.”,race
,
Sexist Super Bowl Ads,gender
,
"“It’s funny, I didn’t know if you were Asian or not because you’re so tall.”",race
"“Oh my God! Yea, that shooting at Haas last week was so crazy! I feel like I go to a ghetto school now!”",race
"“Oh my God! Yea, that shooting at Haas last week was so crazy! I feel like I go to a ghetto school now!”",class
“I just read on Wikipedia that Eskimos DONT live in Igloos….. Seriously?! wtf. I feel like up is down and right is left.”,race
,
"“Smile! You’re so beautiful, why aren’t you smiling?”",gender
,
"“Is it a he or a she? Well, it’s wearing a dress so it’s a she, of course.”",gender
